Indice,nome,ref,design,Data,Quant,Eur,numero_de_cliente
176,"CENTRO AGRÍCOLA DE MEROUÇOS, LDA",J.PEL010,VERTOX FORTE PASTA - 1KG,2023,0,0,4582
177,"CENTRO AGRÍCOLA DE MEROUÇOS, LDA",J.UNIV0075,FIPON MONO GATOS,2023,20,47.7,4582
178,"CENTRO AGRÍCOLA DE MEROUÇOS, LDA",J.UNIV0076,FIPON MONO CÃO S,2023,85,225.68,4582
179,"CENTRO AGRÍCOLA DE MEROUÇOS, LDA",J.UNIV0077,FIPON MONO CÃO M,2023,55,163.35,4582
180,"CENTRO AGRÍCOLA DE MEROUÇOS, LDA",J.UNIV0078,FIPON MONO CÃO L,2023,55,195.53,4582
181,"CENTRO AGRÍCOLA DE MEROUÇOS, LDA",J.UNIV0079,FIPON MONO CÃO XL,2023,35,130.73,4582
182,"CENTRO AGRÍCOLA DE MEROUÇOS, LDA",J.ZA00149,KARATE  ZEON - 25 ML,2023,144,586.66,4582
183,COOPCOA - COOP.AGRIC. DO CONCELHO DO SABUGAL,J.BARC001,GLYFOFLASH XL - 1LT,2023,0,0,2692
184,COOPCOA - COOP.AGRIC. DO CONCELHO DO SABUGAL,J.JOV00019,RATRAP KIT,2023,0,0,2692
185,COOPCOA - COOP.AGRIC. DO CONCELHO DO SABUGAL,J.KEY001,INSECTOIL - 1 LT,2023,0,0,2692
186,COOPCOA - COOP.AGRIC. DO CONCELHO DO SABUGAL,J.PEL006,RODEX TRIGO - 150GR,2023,70,41.9,2692
187,COOPCOA - COOP.AGRIC. DO CONCELHO DO SABUGAL,J.PEL007,ROBAN PASTA - 150GR,2023,0,0,2692
188,COOPCOA - COOP.AGRIC. DO CONCELHO DO SABUGAL,J.QM0025,MURIBROM PASTA BRODIF. - 150 GR,2023,150,121.84,2692
189,COOPCOA - COOP.AGRIC. DO CONCELHO DO SABUGAL,J.QM0034,MURIBROM PASTA BRODIF. - 1.5 KG 50PPM,2023,88,639.54,2692
190,COOPCOA - COOP.AGRIC. DO CONCELHO DO SABUGAL,J.ZA00588,CUPRANTOL DUO - 500GR,2023,0,0,2692
191,"COSTADUBOS, UNIPESSOAL, LDA",J.BARC002,GLYFOFLASH XL - 5LT,2023,0,0,5596
192,"COSTADUBOS, UNIPESSOAL, LDA",J.BARC003,GLYFOFLASH XL - 20LT,2023,0,0,5596
193,COVIAGRO DE  JOSÉ VERSOS DE ASCENÇÃO SIMÕES,J.JOV00030,FERREX JARDIM - 300GR,2023,0,0,5593
194,COVIAGRO DE  JOSÉ VERSOS DE ASCENÇÃO SIMÕES,J.JOV00052,100 MOSCAS - 1LT+SAQUETA,2023,0,0,5593
195,COVIAGRO DE  JOSÉ VERSOS DE ASCENÇÃO SIMÕES,J.JOV00053,100 MOSCAS - 4x20gr,2023,0,0,5593
196,COVIAGRO DE  JOSÉ VERSOS DE ASCENÇÃO SIMÕES,J.JOV00131,COMPLESAL CALCIO - 1LT,2023,0,0,5593
197,COVIAGRO DE  JOSÉ VERSOS DE ASCENÇÃO SIMÕES,J.KEY012,FLUROKEY - 100ML,2023,0,0,5593
198,COVIAGRO DE  JOSÉ VERSOS DE ASCENÇÃO SIMÕES,J.PEL006,RODEX TRIGO - 150GR,2023,0,0,5593
199,COVIAGRO DE  JOSÉ VERSOS DE ASCENÇÃO SIMÕES,J.PEL007,ROBAN PASTA - 150GR,2023,0,0,5593
200,COVIAGRO DE  JOSÉ VERSOS DE ASCENÇÃO SIMÕES,J.PEL010,VERTOX FORTE PASTA - 1KG,2023,0,0,5593
201,COVIAGRO DE  JOSÉ VERSOS DE ASCENÇÃO SIMÕES,J.PEL011,VERTOX PELLET - 150GR (cx90),2023,0,0,5593
202,COVIAGRO DE  JOSÉ VERSOS DE ASCENÇÃO SIMÕES,J.SP0009,BORDOGREEN CONCENTRADO-100ML,2023,0,0,5593
203,COVIAGRO DE  JOSÉ VERSOS DE ASCENÇÃO SIMÕES,TRANSP.MERC.,Transporte de Mercadorias,2023,0,0,5593
222,"DAVID RUSSO, LDA",J.JOV00047,ZUM LACA - 300ML,2023,60,265.2,2714
223,"DAVID RUSSO, LDA",J.JOV00052,100 MOSCAS - 1LT+SAQUETA,2023,24,175.92,2714
224,"DAVID RUSSO, LDA",J.JOV00054,100 MOSCAS - 240gr,2023,12,99.36,2714
225,"DAVID RUSSO, LDA",J.JOV00055,100 MOSCAS - ARM 10lt,2023,36,448.56,2714
226,"DAVID RUSSO, LDA",J.PEL004,VERTOX PELLET - 150GR,2023,210,115.5,2714
227,"DAVID RUSSO, LDA",J.PEL006,RODEX TRIGO - 150GR,2023,0,0,2714
